migration_category_series,date,location,metric,metric_value,,,
Overseas Migration,1/12/1992,Australian Capital Territory,Net Overseas Migration,-321,,,
Interstate Migration,1/12/1992,Queensland,Interstate Arrivals,28209,,,
Interstate Migration,1/12/1992,Northern Territory,Interstate Arrivals,4719,,,
Interstate Migration,1/12/1992,South Australia,Interstate Departures,6972,,,
Interstate Migration,1/12/1992,Australian Capital Territory,Interstate Departures,4200,,,
Interstate Migration,1/3/1993,Australia,Overseas Arrivals,59.3,,,
Interstate Migration,1/3/1993,Australia,Overseas Departures,38.8,,,
Overseas Migration,1/3/1993,Australia,Net Overseas Migration,18502,,,
Interstate Migration,1/3/1993,Victoria,Interstate Arrivals,17619,,,
Interstate Migration,1/3/1993,Tasmania,Interstate Arrivals,3169,,,
Interstate Migration,1/3/1993,Queensland,Interstate Departures,20351,,,
Interstate Migration,1/3/1993,Northern Territory,Interstate Departures,5295,,,
Overseas Migration,1/6/1993,Australia,Net Overseas Migration,-6.3,,,
Interstate Migration,1/6/1993,New South Wales,Net Interstate Migration,-3094,,,
Interstate Migration,1/6/1993,Victoria,Net Interstate Migration,-5934,,,
Interstate Migration,1/6/1993,Queensland,Net Interstate Migration,10253,,,
Interstate Migration,1/6/1993,South Australia,Net Interstate Migration,-940,,,
Interstate Migration,1/6/1993,Western Australia,Net Interstate Migration,796,,,
Interstate Migration,1/6/1993,Tasmania,Net Interstate Migration,-562,,,
Interstate Migration,1/6/1993,Northern Territory,Net Interstate Migration,-548,,,
Interstate Migration,1/6/1993,Australian Capital Territory,Net Interstate Migration,29,,,
Interstate Migration,1/6/1993,New South Wales,Interstate Arrivals,19227,,,
Interstate Migration,1/6/1993,Western Australia,Interstate Arrivals,6946,,,
Interstate Migration,1/6/1993,Victoria,Interstate Departures,18444,,,
Interstate Migration,1/6/1993,Tasmania,Interstate Departures,3165,,,
Interstate Migration,1/9/1993,South Australia,Interstate Arrivals,5875,,,
Interstate Migration,1/9/1993,Australian Capital Territory,Interstate Arrivals,3873,,,
Interstate Migration,1/9/1993,New South Wales,Interstate Departures,22407,,,
Interstate Migration,1/9/1993,Western Australia,Interstate Departures,6327,,,
Interstate Migration,1/12/1993,Australia,Overseas Arrivals,50.9,,,
Interstate Migration,1/12/1993,Australia,Overseas Departures,37.3,,,
Overseas Migration,1/12/1993,New South Wales,Net Overseas Migration,3199,,,
Overseas Migration,1/12/1993,Victoria,Net Overseas Migration,1057,,,
Overseas Migration,1/12/1993,Queensland,Net Overseas Migration,118,,,
Overseas Migration,1/12/1993,South Australia,Net Overseas Migration,163,,,
Overseas Migration,1/12/1993,Western Australia,Net Overseas Migration,850,,,
Overseas Migration,1/12/1993,Tasmania,Net Overseas Migration,-26,,,
Overseas Migration,1/12/1993,Northern Territory,Net Overseas Migration,-57,,,
Overseas Migration,1/12/1993,Australian Capital Territory,Net Overseas Migration,-445,,,
Overseas Migration,1/12/1993,Australia,Net Overseas Migration,4859,,,
Interstate Migration,1/12/1993,Queensland,Interstate Arrivals,23004,,,
Interstate Migration,1/12/1993,Northern Territory,Interstate Arrivals,3352,,,
Interstate Migration,1/12/1993,South Australia,Interstate Departures,6102,,,
Interstate Migration,1/12/1993,Australian Capital Territory,Interstate Departures,3597,,,
Overseas Migration,1/3/1994,Australia,Net Overseas Migration,19.5,,,
Interstate Migration,1/3/1994,Victoria,Interstate Arrivals,14794,,,
Interstate Migration,1/3/1994,Tasmania,Interstate Arrivals,2945,,,
Interstate Migration,1/3/1994,Queensland,Interstate Departures,19219,,,
Interstate Migration,1/3/1994,Northern Territory,Interstate Departures,5235,,,
Interstate Migration,1/6/1994,New South Wales,Net Interstate Migration,-3957,,,
Interstate Migration,1/6/1994,Victoria,Net Interstate Migration,-5606,,,
Interstate Migration,1/6/1994,Queensland,Net Interstate Migration,9733,,,
Interstate Migration,1/6/1994,South Australia,Net Interstate Migration,-948,,,
Interstate Migration,1/6/1994,Western Australia,Net Interstate Migration,1527,,,
Interstate Migration,1/6/1994,Tasmania,Net Interstate Migration,-404,,,
Interstate Migration,1/6/1994,Northern Territory,Net Interstate Migration,-361,,,
Interstate Migration,1/6/1994,Australian Capital Territory,Net Interstate Migration,16,,,
Interstate Migration,1/6/1994,New South Wales,Interstate Arrivals,19175,,,
Interstate Migration,1/6/1994,Western Australia,Interstate Arrivals,7111,,,
Interstate Migration,1/6/1994,Victoria,Interstate Departures,17564,,,
Interstate Migration,1/6/1994,Tasmania,Interstate Departures,2770,,,
Interstate Migration,1/9/1994,Australia,Overseas Arrivals,56.6,,,
Interstate Migration,1/9/1994,Australia,Overseas Departures,33.1,,,
Overseas Migration,1/9/1994,Australia,Net Overseas Migration,27767,,,
Interstate Migration,1/9/1994,South Australia,Interstate Arrivals,5637,,,
Interstate Migration,1/9/1994,Australian Capital Territory,Interstate Arrivals,3989,,,
Interstate Migration,1/9/1994,New South Wales,Interstate Departures,23501,,,
Interstate Migration,1/9/1994,Western Australia,Interstate Departures,5890,,,
Overseas Migration,1/12/1994,Australia,Net Overseas Migration,3.9,,,
Overseas Migration,1/12/1994,New South Wales,Net Overseas Migration,2602,,,
Overseas Migration,1/12/1994,Victoria,Net Overseas Migration,1405,,,
Overseas Migration,1/12/1994,Queensland,Net Overseas Migration,-160,,,
Overseas Migration,1/12/1994,South Australia,Net Overseas Migration,38,,,
Overseas Migration,1/12/1994,Western Australia,Net Overseas Migration,751,,,
Overseas Migration,1/12/1994,Tasmania,Net Overseas Migration,-82,,,
Overseas Migration,1/12/1994,Northern Territory,Net Overseas Migration,-86,,,
Overseas Migration,1/12/1994,Australian Capital Territory,Net Overseas Migration,-618,,,
Interstate Migration,1/12/1994,Queensland,Interstate Arrivals,24151,,,
Interstate Migration,1/12/1994,Northern Territory,Interstate Arrivals,3866,,,
Interstate Migration,1/12/1994,South Australia,Interstate Departures,6400,,,
Interstate Migration,1/12/1994,Australian Capital Territory,Interstate Departures,3950,,,
Interstate Migration,1/3/1995,Victoria,Interstate Arrivals,16411,,,
Interstate Migration,1/3/1995,Tasmania,Interstate Arrivals,2923,,,
Interstate Migration,1/3/1995,Queensland,Interstate Departures,21884,,,
Interstate Migration,1/3/1995,Northern Territory,Interstate Departures,5655,,,
Interstate Migration,1/6/1995,Australia,Overseas Arrivals,50.5,,,
Interstate Migration,1/6/1995,Australia,Overseas Departures,32.7,,,
Interstate Migration,1/6/1995,New South Wales,Net Interstate Migration,-2961,,,
Interstate Migration,1/6/1995,Victoria,Net Interstate Migration,-5062,,,
Interstate Migration,1/6/1995,Queensland,Net Interstate Migration,10272,,,
Interstate Migration,1/6/1995,South Australia,Net Interstate Migration,-1994,,,
Interstate Migration,1/6/1995,Western Australia,Net Interstate Migration,1375,,,
Interstate Migration,1/6/1995,Tasmania,Net Interstate Migration,-748,,,
Interstate Migration,1/6/1995,Northern Territory,Net Interstate Migration,-242,,,
Interstate Migration,1/6/1995,Australian Capital Territory,Net Interstate Migration,-640,,,
Overseas Migration,1/6/1995,Australia,Net Overseas Migration,23812,,,
Interstate Migration,1/6/1995,New South Wales,Interstate Arrivals,23732,,,
Interstate Migration,1/6/1995,Western Australia,Interstate Arrivals,8598,,,
Interstate Migration,1/6/1995,Victoria,Interstate Departures,20073,,,
Interstate Migration,1/6/1995,Tasmania,Interstate Departures,3468,,,
Overseas Migration,1/9/1995,Australia,Net Overseas Migration,29.1,,,
Interstate Migration,1/9/1995,South Australia,Interstate Arrivals,5366,,,
Interstate Migration,1/9/1995,Australian Capital Territory,Interstate Arrivals,3699,,,
Interstate Migration,1/9/1995,New South Wales,Interstate Departures,21532,,,
Interstate Migration,1/9/1995,Western Australia,Interstate Departures,6324,,,
Overseas Migration,1/12/1995,New South Wales,Net Overseas Migration,14384,,,
Overseas Migration,1/12/1995,Victoria,Net Overseas Migration,7435,,,
Overseas Migration,1/12/1995,Queensland,Net Overseas Migration,2967,,,
Overseas Migration,1/12/1995,South Australia,Net Overseas Migration,980,,,
Overseas Migration,1/12/1995,Western Australia,Net Overseas Migration,3203,,,
Overseas Migration,1/12/1995,Tasmania,Net Overseas Migration,46,,,
Overseas Migration,1/12/1995,Northern Territory,Net Overseas Migration,146,,,
Overseas Migration,1/12/1995,Australian Capital Territory,Net Overseas Migration,53,,,
Interstate Migration,1/12/1995,Queensland,Interstate Arrivals,25149,,,
Interstate Migration,1/12/1995,Northern Territory,Interstate Arrivals,4412,,,
Interstate Migration,1/12/1995,South Australia,Interstate Departures,7327,,,
Interstate Migration,1/12/1995,Australian Capital Territory,Interstate Departures,4797,,,
Interstate Migration,1/3/1996,Australia,Overseas Arrivals,82.7,,,
Interstate Migration,1/3/1996,Australia,Overseas Departures,43,,,
Overseas Migration,1/3/1996,Australia,Net Overseas Migration,25142,,,
Interstate Migration,1/3/1996,Victoria,Interstate Arrivals,16930,,,
Interstate Migration,1/3/1996,Tasmania,Interstate Arrivals,2983,,,
Interstate Migration,1/3/1996,Queensland,Interstate Departures,22712,,,
Interstate Migration,1/3/1996,Northern Territory,Interstate Departures,5426,,,
Overseas Migration,1/6/1996,Australia,Net Overseas Migration,20.6,,,
Interstate Migration,1/6/1996,New South Wales,Net Interstate Migration,-2215,,,
Interstate Migration,1/6/1996,Victoria,Net Interstate Migration,-2811,,,
Interstate Migration,1/6/1996,Queensland,Net Interstate Migration,5578,,,
Interstate Migration,1/6/1996,South Australia,Net Interstate Migration,-1090,,,
Interstate Migration,1/6/1996,Western Australia,Net Interstate Migration,1438,,,
Interstate Migration,1/6/1996,Tasmania,Net Interstate Migration,-469,,,
Interstate Migration,1/6/1996,Northern Territory,Net Interstate Migration,-506,,,
Interstate Migration,1/6/1996,Australian Capital Territory,Net Interstate Migration,75,,,
Interstate Migration,1/6/1996,New South Wales,Interstate Arrivals,20936,,,
Interstate Migration,1/6/1996,Western Australia,Interstate Arrivals,8237,,,
Interstate Migration,1/6/1996,Victoria,Interstate Departures,16589,,,
Interstate Migration,1/6/1996,Tasmania,Interstate Departures,3114,,,
Interstate Migration,1/9/1996,South Australia,Interstate Arrivals,6408,,,
Interstate Migration,1/9/1996,Australian Capital Territory,Interstate Arrivals,4097,,,
Interstate Migration,1/9/1996,New South Wales,Interstate Departures,24748,,,
Interstate Migration,1/9/1996,Western Australia,Interstate Departures,6934,,,
Interstate Migration,1/12/1996,Australia,Overseas Arrivals,64.4,,,
Interstate Migration,1/12/1996,Australia,Overseas Departures,44.3,,,
Overseas Migration,1/12/1996,New South Wales,Net Overseas Migration,9484,,,
Overseas Migration,1/12/1996,Victoria,Net Overseas Migration,4343,,,
Overseas Migration,1/12/1996,Queensland,Net Overseas Migration,1946,,,
Overseas Migration,1/12/1996,South Australia,Net Overseas Migration,758,,,
Overseas Migration,1/12/1996,Western Australia,Net Overseas Migration,2888,,,
Overseas Migration,1/12/1996,Tasmania,Net Overseas Migration,82,,,
Overseas Migration,1/12/1996,Northern Territory,Net Overseas Migration,67,,,
Overseas Migration,1/12/1996,Australian Capital Territory,Net Overseas Migration,-190,,,
Overseas Migration,1/12/1996,Australia,Net Overseas Migration,19376,,,
Interstate Migration,1/12/1996,Queensland,Interstate Arrivals,27549,,,
Interstate Migration,1/12/1996,Northern Territory,Interstate Arrivals,5259,,,
Interstate Migration,1/12/1996,South Australia,Interstate Departures,9153,,,
Interstate Migration,1/12/1996,Australian Capital Territory,Interstate Departures,5856,,,
Overseas Migration,1/3/1997,Australia,Net Overseas Migration,29.4,,,
Interstate Migration,1/3/1997,Victoria,Interstate Arrivals,16949,,,
Interstate Migration,1/3/1997,Tasmania,Interstate Arrivals,2849,,,
Interstate Migration,1/3/1997,Queensland,Interstate Departures,20307,,,
Interstate Migration,1/3/1997,Northern Territory,Interstate Departures,4178,,,
Interstate Migration,1/6/1997,New South Wales,Net Interstate Migration,-1500,,,
Interstate Migration,1/6/1997,Victoria,Net Interstate Migration,-1544,,,
Interstate Migration,1/6/1997,Queensland,Net Interstate Migration,4314,,,
Interstate Migration,1/6/1997,South Australia,Net Interstate Migration,-544,,,
Interstate Migration,1/6/1997,Western Australia,Net Interstate Migration,582,,,
Interstate Migration,1/6/1997,Tasmania,Net Interstate Migration,-1016,,,
Interstate Migration,1/6/1997,Northern Territory,Net Interstate Migration,744,,,
Interstate Migration,1/6/1997,Australian Capital Territory,Net Interstate Migration,-1023,,,
Interstate Migration,1/6/1997,New South Wales,Interstate Arrivals,23756,,,
Interstate Migration,1/6/1997,Western Australia,Interstate Arrivals,8030,,,
Interstate Migration,1/6/1997,Victoria,Interstate Departures,17358,,,
Interstate Migration,1/6/1997,Tasmania,Interstate Departures,3670,,,
Interstate Migration,1/9/1997,Australia,Overseas Arrivals,65.1,,,
Interstate Migration,1/9/1997,Australia,Overseas Departures,42.2,,,
Overseas Migration,1/9/1997,Australia,Net Overseas Migration,22942,,,
Interstate Migration,1/9/1997,South Australia,Interstate Arrivals,6537,,,
Interstate Migration,1/9/1997,Australian Capital Territory,Interstate Arrivals,3699,,,
Interstate Migration,1/9/1997,New South Wales,Interstate Departures,23494,,,
Interstate Migration,1/9/1997,Western Australia,Interstate Departures,6687,,,
Overseas Migration,1/12/1997,Australia,Net Overseas Migration,14,,,
Overseas Migration,1/12/1997,New South Wales,Net Overseas Migration,6668,,,
Overseas Migration,1/12/1997,Victoria,Net Overseas Migration,2683,,,
Overseas Migration,1/12/1997,Queensland,Net Overseas Migration,1831,,,
Overseas Migration,1/12/1997,South Australia,Net Overseas Migration,758,,,
Overseas Migration,1/12/1997,Western Australia,Net Overseas Migration,2355,,,
Overseas Migration,1/12/1997,Tasmania,Net Overseas Migration,9,,,
Overseas Migration,1/12/1997,Northern Territory,Net Overseas Migration,-2,,,
Overseas Migration,1/12/1997,Australian Capital Territory,Net Overseas Migration,-247,,,
Interstate Migration,1/12/1997,Queensland,Interstate Arrivals,27103,,,
Interstate Migration,1/12/1997,Northern Territory,Interstate Arrivals,5010,,,
Interstate Migration,1/12/1997,South Australia,Interstate Departures,8782,,,
Interstate Migration,1/12/1997,Australian Capital Territory,Interstate Departures,5981,,,
Interstate Migration,1/3/1998,Victoria,Interstate Arrivals,16624,,,
Interstate Migration,1/3/1998,Tasmania,Interstate Arrivals,2743,,,
Interstate Migration,1/3/1998,Queensland,Interstate Departures,19498,,,
Interstate Migration,1/3/1998,Northern Territory,Interstate Departures,4153,,,
Interstate Migration,1/6/1998,Australia,Overseas Arrivals,54.1,,,
Interstate Migration,1/6/1998,Australia,Overseas Departures,45.6,,,
Interstate Migration,1/6/1998,New South Wales,Net Interstate Migration,-3125,,,
Interstate Migration,1/6/1998,Victoria,Net Interstate Migration,26,,,
Interstate Migration,1/6/1998,Queensland,Net Interstate Migration,4230,,,
Interstate Migration,1/6/1998,South Australia,Net Interstate Migration,-502,,,
Interstate Migration,1/6/1998,Western Australia,Net Interstate Migration,512,,,
Interstate Migration,1/6/1998,Tasmania,Net Interstate Migration,-1026,,,
Interstate Migration,1/6/1998,Northern Territory,Net Interstate Migration,-68,,,
Interstate Migration,1/6/1998,Australian Capital Territory,Net Interstate Migration,-35,,,
Overseas Migration,1/6/1998,Australia,Net Overseas Migration,8468,,,
Interstate Migration,1/6/1998,New South Wales,Interstate Arrivals,22655,,,
Interstate Migration,1/6/1998,Western Australia,Interstate Arrivals,8082,,,
Interstate Migration,1/6/1998,Victoria,Interstate Departures,16769,,,
Interstate Migration,1/6/1998,Tasmania,Interstate Departures,3799,,,
Overseas Migration,1/9/1998,Australia,Net Overseas Migration,26.5,,,
Interstate Migration,1/9/1998,South Australia,Interstate Arrivals,6498,,,
Interstate Migration,1/9/1998,Australian Capital Territory,Interstate Arrivals,3862,,,
Interstate Migration,1/9/1998,New South Wales,Interstate Departures,22964,,,
Interstate Migration,1/9/1998,Western Australia,Interstate Departures,6743,,,
Overseas Migration,1/12/1998,New South Wales,Net Overseas Migration,7498,,,
Overseas Migration,1/12/1998,Victoria,Net Overseas Migration,5758,,,
Overseas Migration,1/12/1998,Queensland,Net Overseas Migration,2460,,,
Overseas Migration,1/12/1998,South Australia,Net Overseas Migration,1330,,,
Overseas Migration,1/12/1998,Western Australia,Net Overseas Migration,2271,,,
Overseas Migration,1/12/1998,Tasmania,Net Overseas Migration,343,,,
Overseas Migration,1/12/1998,Northern Territory,Net Overseas Migration,374,,,
Overseas Migration,1/12/1998,Australian Capital Territory,Net Overseas Migration,44,,,
Interstate Migration,1/12/1998,Queensland,Interstate Arrivals,26696,,,
Interstate Migration,1/12/1998,Northern Territory,Interstate Arrivals,4873,,,
Interstate Migration,1/12/1998,South Australia,Interstate Departures,8555,,,
Interstate Migration,1/12/1998,Australian Capital Territory,Interstate Departures,5681,,,
Interstate Migration,1/3/1999,Australia,Overseas Arrivals,85.4,,,
Interstate Migration,1/3/1999,Australia,Overseas Departures,50.3,,,
Overseas Migration,1/3/1999,Australia,Net Overseas Migration,35083,,,
Interstate Migration,1/3/1999,Victoria,Interstate Arrivals,16578,,,
Interstate Migration,1/3/1999,Tasmania,Interstate Arrivals,3013,,,
Interstate Migration,1/3/1999,Queensland,Interstate Departures,18825,,,
Interstate Migration,1/3/1999,Northern Territory,Interstate Departures,4004,,,
Overseas Migration,1/6/1999,Australia,Net Overseas Migration,14.8,,,
Interstate Migration,1/6/1999,New South Wales,Net Interstate Migration,-3728,,,
Interstate Migration,1/6/1999,Victoria,Net Interstate Migration,750,,,
Interstate Migration,1/6/1999,Queensland,Net Interstate Migration,4722,,,
Interstate Migration,1/6/1999,South Australia,Net Interstate Migration,-554,,,
Interstate Migration,1/6/1999,Western Australia,Net Interstate Migration,-338,,,
Interstate Migration,1/6/1999,Tasmania,Net Interstate Migration,-698,,,
Interstate Migration,1/6/1999,Northern Territory,Net Interstate Migration,-362,,,
Interstate Migration,1/6/1999,Australian Capital Territory,Net Interstate Migration,220,,,
Interstate Migration,1/6/1999,New South Wales,Interstate Arrivals,22509,,,
Interstate Migration,1/6/1999,Western Australia,Interstate Arrivals,7721,,,
Interstate Migration,1/6/1999,Victoria,Interstate Departures,15984,,,
Interstate Migration,1/6/1999,Tasmania,Interstate Departures,3717,,,
Interstate Migration,1/9/1999,South Australia,Interstate Arrivals,6283,,,
Interstate Migration,1/9/1999,Australian Capital Territory,Interstate Arrivals,4320,,,
Interstate Migration,1/9/1999,New South Wales,Interstate Departures,23507,,,
Interstate Migration,1/9/1999,Western Australia,Interstate Departures,7489,,,
Interstate Migration,1/12/1999,Australia,Overseas Arrivals,73.6,,,
Interstate Migration,1/12/1999,Australia,Overseas Departures,49,,,
Overseas Migration,1/12/1999,New South Wales,Net Overseas Migration,10763,,,
Overseas Migration,1/12/1999,Victoria,Net Overseas Migration,5122,,,
Overseas Migration,1/12/1999,Queensland,Net Overseas Migration,5497,,,
Overseas Migration,1/12/1999,South Australia,Net Overseas Migration,1528,,,
Overseas Migration,1/12/1999,Western Australia,Net Overseas Migration,1570,,,
Overseas Migration,1/12/1999,Tasmania,Net Overseas Migration,228,,,
Overseas Migration,1/12/1999,Northern Territory,Net Overseas Migration,173,,,
Overseas Migration,1/12/1999,Australian Capital Territory,Net Overseas Migration,-264,,,
Overseas Migration,1/12/1999,Australia,Net Overseas Migration,24618,,,
Interstate Migration,1/12/1999,Queensland,Interstate Arrivals,26799,,,
Interstate Migration,1/12/1999,Northern Territory,Interstate Arrivals,4739,,,
Interstate Migration,1/12/1999,South Australia,Interstate Departures,8735,,,
Interstate Migration,1/12/1999,Australian Capital Territory,Interstate Departures,5690,,,
Overseas Migration,1/3/2000,Australia,Net Overseas Migration,37.4,,,
Interstate Migration,1/3/2000,Victoria,Interstate Arrivals,17866,,,
Interstate Migration,1/3/2000,Tasmania,Interstate Arrivals,3124,,,
Interstate Migration,1/3/2000,Queensland,Interstate Departures,19141,,,
Interstate Migration,1/3/2000,Northern Territory,Interstate Departures,4364,,,
Interstate Migration,1/6/2000,New South Wales,Net Interstate Migration,-3429,,,
Interstate Migration,1/6/2000,Victoria,Net Interstate Migration,1083,,,
Interstate Migration,1/6/2000,Queensland,Net Interstate Migration,4691,,,
Interstate Migration,1/6/2000,South Australia,Net Interstate Migration,-837,,,
Interstate Migration,1/6/2000,Western Australia,Net Interstate Migration,-298,,,
Interstate Migration,1/6/2000,Tasmania,Net Interstate Migration,-659,,,
Interstate Migration,1/6/2000,Northern Territory,Net Interstate Migration,-154,,,
Interstate Migration,1/6/2000,Australian Capital Territory,Net Interstate Migration,-384,,,
Interstate Migration,1/6/2000,New South Wales,Interstate Arrivals,23541,,,
Interstate Migration,1/6/2000,Western Australia,Interstate Arrivals,7704,,,
Interstate Migration,1/6/2000,Victoria,Interstate Departures,16439,,,
Interstate Migration,1/6/2000,Tasmania,Interstate Departures,3531,,,
Interstate Migration,1/9/2000,Australia,Overseas Arrivals,80.2,,,
Interstate Migration,1/9/2000,Australia,Overseas Departures,48.3,,,
Overseas Migration,1/9/2000,Australia,Net Overseas Migration,31895,,,
Interstate Migration,1/9/2000,South Australia,Interstate Arrivals,6545,,,
Interstate Migration,1/9/2000,Australian Capital Territory,Interstate Arrivals,4231,,,
Interstate Migration,1/9/2000,New South Wales,Interstate Departures,24771,,,
Interstate Migration,1/9/2000,Western Australia,Interstate Departures,7689,,,
Overseas Migration,1/12/2000,Australia,Net Overseas Migration,26.6,,,
Overseas Migration,1/12/2000,New South Wales,Net Overseas Migration,12348,,,
Overseas Migration,1/12/2000,Victoria,Net Overseas Migration,6403,,,
Overseas Migration,1/12/2000,Queensland,Net Overseas Migration,3382,,,
Overseas Migration,1/12/2000,South Australia,Net Overseas Migration,566,,,
Overseas Migration,1/12/2000,Western Australia,Net Overseas Migration,3946,,,
Overseas Migration,1/12/2000,Tasmania,Net Overseas Migration,12,,,
Overseas Migration,1/12/2000,Northern Territory,Net Overseas Migration,81,,,
Overseas Migration,1/12/2000,Australian Capital Territory,Net Overseas Migration,-133,,,
Interstate Migration,1/12/2000,Queensland,Interstate Arrivals,29439,,,
Interstate Migration,1/12/2000,Northern Territory,Interstate Arrivals,4872,,,
Interstate Migration,1/12/2000,South Australia,Interstate Departures,9038,,,
Interstate Migration,1/12/2000,Australian Capital Territory,Interstate Departures,6017,,,
Interstate Migration,1/3/2001,Victoria,Interstate Arrivals,18371,,,
Interstate Migration,1/3/2001,Tasmania,Interstate Arrivals,3193,,,
Interstate Migration,1/3/2001,Queensland,Interstate Departures,19914,,,
Interstate Migration,1/3/2001,Northern Territory,Interstate Departures,4076,,,
Interstate Migration,1/6/2001,Australia,Overseas Arrivals,71.2,,,
Interstate Migration,1/6/2001,Australia,Overseas Departures,48.8,,,
Interstate Migration,1/6/2001,New South Wales,Net Interstate Migration,-4434,,,
Interstate Migration,1/6/2001,Victoria,Net Interstate Migration,869,,,
Interstate Migration,1/6/2001,Queensland,Net Interstate Migration,5180,,,
Interstate Migration,1/6/2001,South Australia,Net Interstate Migration,-190,,,
Interstate Migration,1/6/2001,Western Australia,Net Interstate Migration,-912,,,
Interstate Migration,1/6/2001,Tasmania,Net Interstate Migration,-556,,,
Interstate Migration,1/6/2001,Northern Territory,Net Interstate Migration,-223,,,
Interstate Migration,1/6/2001,Australian Capital Territory,Net Interstate Migration,272,,,
Overseas Migration,1/6/2001,Australia,Net Overseas Migration,22395,,,
Interstate Migration,1/6/2001,New South Wales,Interstate Arrivals,23687,,,
Interstate Migration,1/6/2001,Western Australia,Interstate Arrivals,7272,,,
Interstate Migration,1/6/2001,Victoria,Interstate Departures,17051,,,
Interstate Migration,1/6/2001,Tasmania,Interstate Departures,3666,,,
Overseas Migration,1/9/2001,Australia,Net Overseas Migration,27.7,,,
Interstate Migration,1/9/2001,South Australia,Interstate Arrivals,6450,,,
Interstate Migration,1/9/2001,Australian Capital Territory,Interstate Arrivals,4229,,,
Interstate Migration,1/9/2001,New South Wales,Interstate Departures,25941,,,
Interstate Migration,1/9/2001,Western Australia,Interstate Departures,7364,,,
Overseas Migration,1/12/2001,New South Wales,Net Overseas Migration,12872,,,
Overseas Migration,1/12/2001,Victoria,Net Overseas Migration,5614,,,
Overseas Migration,1/12/2001,Queensland,Net Overseas Migration,6491,,,
Overseas Migration,1/12/2001,South Australia,Net Overseas Migration,1468,,,
Overseas Migration,1/12/2001,Western Australia,Net Overseas Migration,4196,,,
Overseas Migration,1/12/2001,Tasmania,Net Overseas Migration,421,,,
Overseas Migration,1/12/2001,Northern Territory,Net Overseas Migration,61,,,
Overseas Migration,1/12/2001,Australian Capital Territory,Net Overseas Migration,76,,,
Interstate Migration,1/12/2001,Queensland,Interstate Arrivals,29102,,,
Interstate Migration,1/12/2001,Northern Territory,Interstate Arrivals,4032,,,
Interstate Migration,1/12/2001,South Australia,Interstate Departures,8034,,,
Interstate Migration,1/12/2001,Australian Capital Territory,Interstate Departures,5593,,,
Interstate Migration,1/3/2002,Australia,Overseas Arrivals,113.9,,,
Interstate Migration,1/3/2002,Australia,Overseas Departures,63.4,,,
Overseas Migration,1/3/2002,Australia,Net Overseas Migration,36355,,,
Interstate Migration,1/3/2002,Victoria,Interstate Arrivals,19110,,,
Interstate Migration,1/3/2002,Tasmania,Interstate Arrivals,3496,,,
Interstate Migration,1/3/2002,Queensland,Interstate Departures,20710,,,
Interstate Migration,1/3/2002,Northern Territory,Interstate Departures,4258,,,
Overseas Migration,1/6/2002,Australia,Net Overseas Migration,15.3,,,
Interstate Migration,1/6/2002,New South Wales,Net Interstate Migration,-7565,,,
Interstate Migration,1/6/2002,Victoria,Net Interstate Migration,-436,,,
Interstate Migration,1/6/2002,Queensland,Net Interstate Migration,10093,,,
Interstate Migration,1/6/2002,South Australia,Net Interstate Migration,-371,,,
Interstate Migration,1/6/2002,Western Australia,Net Interstate Migration,-948,,,
Interstate Migration,1/6/2002,Tasmania,Net Interstate Migration,-302,,,
Interstate Migration,1/6/2002,Northern Territory,Net Interstate Migration,-181,,,
Interstate Migration,1/6/2002,Australian Capital Territory,Net Interstate Migration,-281,,,
Interstate Migration,1/6/2002,New South Wales,Interstate Arrivals,23424,,,
Interstate Migration,1/6/2002,Western Australia,Interstate Arrivals,7291,,,
Interstate Migration,1/6/2002,Victoria,Interstate Departures,18760,,,
Interstate Migration,1/6/2002,Tasmania,Interstate Departures,3609,,,
Interstate Migration,1/9/2002,South Australia,Interstate Arrivals,7232,,,
Interstate Migration,1/9/2002,Australian Capital Territory,Interstate Arrivals,4273,,,
Interstate Migration,1/9/2002,New South Wales,Interstate Departures,28702,,,
Interstate Migration,1/9/2002,Western Australia,Interstate Departures,7803,,,
Interstate Migration,1/12/2002,Australia,Overseas Arrivals,84.2,,,
Interstate Migration,1/12/2002,Australia,Overseas Departures,55.7,,,
Overseas Migration,1/12/2002,New South Wales,Net Overseas Migration,9885,,,
Overseas Migration,1/12/2002,Victoria,Net Overseas Migration,6606,,,
Overseas Migration,1/12/2002,Queensland,Net Overseas Migration,6991,,,
Overseas Migration,1/12/2002,South Australia,Net Overseas Migration,1153,,,
Overseas Migration,1/12/2002,Western Australia,Net Overseas Migration,3865,,,
Overseas Migration,1/12/2002,Tasmania,Net Overseas Migration,570,,,
Overseas Migration,1/12/2002,Northern Territory,Net Overseas Migration,-161,,,
Overseas Migration,1/12/2002,Australian Capital Territory,Net Overseas Migration,21,,,
Overseas Migration,1/12/2002,Australia,Net Overseas Migration,28931,,,
Interstate Migration,1/12/2002,Queensland,Interstate Arrivals,33978,,,
Interstate Migration,1/12/2002,Northern Territory,Interstate Arrivals,4437,,,
Interstate Migration,1/12/2002,South Australia,Interstate Departures,8984,,,
Interstate Migration,1/12/2002,Australian Capital Territory,Interstate Departures,5771,,,
Overseas Migration,1/3/2003,Australia,Net Overseas Migration,41.6,,,
Interstate Migration,1/3/2003,Victoria,Interstate Arrivals,18097,,,
Interstate Migration,1/3/2003,Tasmania,Interstate Arrivals,4189,,,
